Timestamp,Latency of h4,Latency of h5,Latency of h6,Latency of h7
1715759757.305671,97.07,98.45,91.62,97.67
1715759769.0906808,40.30,48.30,35.46,32.93
1715759780.8522305,37.68,38.95,38.11,38.67
1715759792.599839,42.90,48.43,34.59,33.12
1715759804.3689833,43.33,49.77,37.51,43.88
1715759815.9037254,42.52,46.67,39.16,40.68
1715759827.688211,36.42,45.01,36.82,34.63
1715759839.4726148,36.75,46.37,37.12,31.30
1715759851.2535524,45.27,49.95,38.51,44.78
1715759863.0480833,39.05,48.72,39.82,38.91
1715759874.826588,41.29,47.88,38.22,35.19
1715759886.6089861,38.91,46.12,37.74,34.89
1715759898.3911254,44.17,49.33,36.91,40.42
1715759910.176843,40.62,48.05,38.79,36.58
1715759921.9666486,43.89,47.21,39.36,42.04
1715759933.7503288,42.11,49.68,35.92,38.73
1715759945.5356987,39.77,47.89,37.21,36.99
1715759957.318895,45.63,49.12,38.89,41.67
1715759969.1045873,41.85,46.91,37.43,39.10
