Timestamp,Latency of h4,Latency of h5,Latency of h6,Latency of h7
1715759757.305671,205.56,218.71,202.26,204.37
1715759769.0906808,210.54,207.64,194.07,224.80
1715759780.8522305,182.42,198.42,193.75,196.84
1715759792.599839,175.58,260.68,196.54,195.29
1715759804.3689833,114.95,143.55,157.57,141.98
1715759815.9037254,172.35,203.22,183.10,186.02
1715759827.688211,165.12,188.02,181.95,178.86
1715759839.4726148,53.49,63.08,181.95,59.16
1715759851.2535524,191.11,213.09,201.22,197.56
1715759863.0480833,205.90,200.43,209.18,210.76
1715759874.826891,220.67,205.32,211.78,217.91
1715759886.601678,225.43,210.87,209.45,219.57
1715759898.3749413,214.76,220.09,205.68,225.83
1715759910.149533,218.34,212.45,207.91,211.42
1715759921.931726,212.78,208.56,203.79,217.25
1715759933.7091851,216.92,211.33,215.04,210.37
1715759945.4876392,210.65,218.76,213.19,214.68
1715759957.2689776,219.87,214.98,209.63,218.79
1715759969.0413206,213.54,209.21,217.87,212.94
