Timestamp,Bitrate of h4,Bitrate of h5,Bitrate of h6
1715761857.094335,7.20,6.63,0
1715761897.0298345,5.50,3.71,5.94
1715761937.2224197,7.03,7.20,0
1715761976.3915634,4.91,4.98,5.94
1715762015.309514,4.61,5.54,5.67
1715762054.094335,4.23,5.67,3.80
1715762093.0298345,6.14,3.84,3.96
1715762132.2224197,5.05,6.18,2.77
1715762171.3915634,4.97,5.26,3.50
1715762210.309514,4.84,5.81,3.35
1715762249.094335,5.12,5.93,2.85
1715762288.0298345,6.21,3.77,3.74
1715762327.2224197,4.59,6.23,3.00
1715762366.3915634,4.86,5.31,3.80
1715762405.309514,4.79,5.70,3.25
1715762444.094335,5.16,5.83,2.95
1715762483.0298345,6.27,3.89,3.51
1715762522.2224197,5.01,6.15,2.82
1715762561.3915634,4.94,5.33,3.50
1715762600.309514,4.77,5.69,3.35
1715762639.094335,5.18,5.77,2.85
1715762678.0298345,6.10,3.81,4.00
1715762717.2224197,5.08,6.19,2.55
1715762756.3915634,4.89,5.27,3.80
1715762795.309514,4.81,5.72,3.40
1715762834.094335,5.14,5.85,2.95
1715762873.0298345,6.15,3.75,3.90
1715762912.2224197,5.04,6.21,2.70
1715762951.3915634,4.93,5.29,3.50
1715762990.309514,4.75,5.68,3.50
1715763029.2224197,4.58,5.34,4.00

